,USB Connect,,,,,,,,,,,,,,,,,,,,,,,,,USB Disconnect,,,,,,,,,,,,,,,,,,,,,,,,,filecopy,,,,,,,,,,,,,,,,,,,,,,,,,logon,,,,,,,,,,,,,,,,,,,,,,,,,logoff,,,,,,,,,,,,,,,,,,,,,,,
JJH0613,0,0,0,0,0,0,5,5,3,1,1,0,4,4,4,1,1,1,0,0,0,0,0,0,JJH0613,0,0,0,0,0,0,5,5,3,1,1,0,4,4,4,2,2,2,0,0,0,0,0,0,JJH0613,0,0,0,0,0,0,14,14,10,1,1,0,10,10,10,2,2,2,0,0,0,0,0,0,JJH0613,0,0,0,0,0,0,3,2,1,1,0,0,2,2,1,1,1,0,0,0,0,0,0,0,JJH0613,0,0,0,0,0,0,1,1,0,1,1,0,2,1,0,1,0,0,0,0,0,0,0,0
BLB0114,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,BLB0114,0,0,0,0,0,0,0,0,1.5,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,BLB0114,0,0,0,0,0,0,0,0,6.5,0,0,1,0,0,7.5,0,0,1,0,0,0,0,0,0,BLB0114,0,0,0,0,0,0,3,1,1,1,0,0,2,1,0.5,1,0,0,1,1,0,1,1,0,BLB0114,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,2,1,1,1,0,0
EDA0684,0,0,0,0,0,0,0,0,1.25,0,0,1,0,0,0.5,0,0,0.25,0,0,0,0,0,0,EDA0684,0,0,0,0,0,0,0,0,1.25,0,0,1,0,0,0.5,0,0,0.25,0,0,0.25,0,0,0.25,EDA0684,0,0,0,0,0,0,0,0,5.75,0,0,1,0,0,1.25,0,0,0.25,0,0,0,0,0,0,EDA0684,1,1,1,1,1,1,2,1,0,1,0,0,1,1,0,1,1,0,1,1,0,1,1,0,EDA0684,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,2,1,0.75,1,0,0
TSM0363,0,0,1,0,0,0.25,0,0,1,0,0,0.25,0,0,0.75,0,0,0.25,0,0,2.5,0,0,1,TSM0363,0,0,1,0,0,0.25,0,0,0.75,0,0,0.25,0,0,0.75,0,0,0.25,0,0,2.5,0,0,1,TSM0363,0,0,4,0,0,0.25,0,0,3.5,0,0,0.25,0,0,3,0,0,0.25,0,0,6.5,0,0,2.25,TSM0363,4,0,1,1,0,0,4,0,1,1,0,0,2,1,1,1,0,0,5,0,0,1,0,0,TSM0363,4,0,1,1,0,0,3,0,0.25,1,0,0,3,0,1,1,0,0,5,0,0,1,0,0
LHB0606,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,LHB0606,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,LHB0606,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,LHB0606,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,LHB0606,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
DMK0257,0,0,0,0,0,0,4,4,4,1,1,1,5,5,5,1,1,1,2,2,2,1,1,1,DMK0257,0,0,0,0,0,0,4,4,4,1,1,1,5,5,5,1,1,1,2,2,2,1,1,1,DMK0257,0,0,0,0,0,0,11,11,11,1,1,1,12,12,12,2,2,2,9,9,9,1,1,1,DMK0257,1,1,1,1,1,1,3,2,1,1,0,0,2,2,1,1,1,0,1,1,1,1,1,1,DMK0257,1,1,1,1,1,1,1,1,0,1,1,0,2,1,1,1,0,0,1,1,0,1,1,0
WIQ0567,0,0,0,0,0,0,3,3,1.75,1,1,0,3,3,2.5,1,1,0.75,0,0,0,0,0,0,WIQ0567,0,0,0,0,0,0,3,3,1.75,1,1,0,4,4,3.5,1,1,0.75,1,1,0.75,1,1,0.75,WIQ0567,0,0,0,0,0,0,13,13,7.25,1,1,0,14,14,12.75,6,6,5.75,1,1,1,1,1,1,WIQ0567,0,0,0,0,0,0,2,1,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,1,WIQ0567,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0.25,1,0,0
MHG0733,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,MHG0733,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,MHG0733,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,MHG0733,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,MHG0733,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
RAW0915,0,0,0,0,0,0,2,2,2,1,1,1,3,3,3,1,1,1,2,2,2,1,1,1,RAW0915,0,0,0,0,0,0,2,2,2,1,1,1,3,3,3,1,1,1,2,2,2,1,1,1,RAW0915,0,0,0,0,0,0,9,9,9,1,1,1,7,7,7,1,1,1,9,9,9,1,1,1,RAW0915,0,0,0,0,0,0,4,2,2,1,0,0,2,1,1,1,0,0,1,1,1,1,1,1,RAW0915,0,0,0,0,0,0,2,2,1,1,1,0,1,0,0,1,0,0,2,2,1,1,1,0
SAB0781,0,0,0,0,0,0,3,3,3,1,1,1,3,3,3,1,1,1,0,0,0,0,0,0,SAB0781,0,0,0,0,0,0,3,3,3,1,1,1,3,3,3,1,1,1,0,0,0,0,0,0,SAB0781,0,0,0,0,0,0,14,14,14,4,4,4,13,13,13,4,4,4,0,0,0,0,0,0,SAB0781,0,0,0,0,0,0,2,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,SAB0781,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1
IBM0671,0,0,0,0,0,0,2,2,0,1,1,0,2,2,0,1,1,0,0,0,0,0,0,0,IBM0671,0,0,0,0,0,0,2,2,0,1,1,0,2,2,0,1,1,0,0,0,0,0,0,0,IBM0671,0,0,0,0,0,0,17,17,9.25,6,6,5,12,12,4,4,4,2.25,0,0,0,0,0,0,IBM0671,0,0,0.75,0,0,0.75,3,1,0,1,0,0,2,1,0,1,0,0,0,0,0.75,0,0,0.75,IBM0671,0,0,0.75,0,0,0.75,1,1,0,1,1,0,2,1,1,1,0,0,0,1,1.75,0,1,1
CBG0490,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CBG0490,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CBG0490,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CBG0490,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,CBG0490,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
CNE0352,0,0,0,0,0,0,0,0,3,0,0,1,0,0,2.5,0,0,1,0,0,0,0,0,0,CNE0352,0,0,0,0,0,0,0,0,3,0,0,1,0,0,2.5,0,0,1,0,0,0,0,0,0,CNE0352,0,0,0,0,0,0,0,0,19,0,0,4,0,0,19,0,0,9,0,0,0,0,0,0,CNE0352,0,0,0,0,0,0,1,1,1.5,1,0,0,0,1,1.5,0,1,1,0,0,0,0,0,0,CNE0352,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0.5,1,0,0,0,0,1,0,0,0.5
GQP0743,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,GQP0743,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,GQP0743,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,GQP0743,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,GQP0743,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
GTD0219,4,4,3,1,1,0.75,4,4,3,1,1,0.75,3,3,2.25,1,1,0.75,5,5,2.5,1,1,0,GTD0219,4,4,3,1,1,0.75,3,3,2.25,1,1,0.75,3,3,2.25,1,1,0.75,5,5,2.5,1,1,0,GTD0219,18,18,14,8,8,7.75,17,17,13.5,3,3,2.75,15,15,12,1,1,0.75,22,22,15.5,7,7,4.75,GTD0219,4,0,1,1,0,0,3,1,2,1,0,0,2,1,1,1,0,0,4,1,1,1,0,0,GTD0219,4,0,1,1,0,0,2,1,1.25,1,0,0,3,0,1,1,0,0,5,0,0,1,0,0
BKW0374,0,0,1,0,0,0.25,0,0,1,0,0,0.25,0,0,0.75,0,0,0.25,0,0,2.5,0,0,1,BKW0374,0,0,1,0,0,0.25,0,0,0.75,0,0,0.25,0,0,0.75,0,0,0.25,0,0,2.5,0,0,1,BKW0374,0,0,4,0,0,0.25,0,0,3.5,0,0,0.25,0,0,3,0,0,0.25,0,0,6.5,0,0,2.25,BKW0374,4,0,1,1,0,0,4,0,1,1,0,0,2,1,1,1,0,0,4,1,1,1,0,0,BKW0374,4,0,1,1,0,0,3,0,0.25,1,0,0,3,0,1,1,0,0,4,1,1,1,0,0
CAH0936,3,3,3,1,1,1,0,0,3,0,0,1,0,0,3,0,0,1,4,4,3,1,1,0,CAH0936,2,2,2,1,1,1,0,0,3,0,0,1,0,0,3,0,0,1,4,4,3,1,1,0,CAH0936,9,9,9,9,9,9,0,0,8,0,0,1,0,0,10,0,0,1,10,10,10,9,9,9,CAH0936,1,1,1,1,1,1,4,2,2,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,CAH0936,1,1,1,1,1,1,2,2,1,1,1,0,2,1,1,1,0,0,1,0,0,1,0,0
AIP0982,0,0,0,0,0,0,3,1.5,0.75,1,0.5,0.25,3,1.5,0.75,1,0.5,0.25,0,0,0,0,0,0,AIP0982,0,0,0,0,0,0,3,1.5,0.75,1,0.5,0.25,3,1.5,0.75,1,0.5,0.25,0,0,0,0,0,0,AIP0982,0,0,0,0,0,0,27,13.5,6.75,27,13.5,6.75,27,13.5,6.75,27,13.5,6.75,0,0,0,0,0,0,AIP0982,0,0,0,0,0,0,3,1,0.5,1,0,0,2,1,0.5,1,0.5,0.25,0,0,0,0,0,0,AIP0982,0,0,0,0,0,0,1,0.5,0.25,1,0.5,0.25,2,0.5,0.25,1,0,0,0,0,0,0,0,0
KRV0372,0,0,1,0,0,0.25,0,0,1,0,0,0.25,0,0,0.75,0,0,0.25,0,0,2.5,0,0,1,KRV0372,0,0,1,0,0,0.25,0,0,0.75,0,0,0.25,0,0,0.75,0,0,0.25,0,0,2.5,0,0,1,KRV0372,0,0,4,0,0,0.25,0,0,3.5,0,0,0.25,0,0,3,0,0,0.25,0,0,6.5,0,0,2.25,KRV0372,4,0,1,1,0,0,5,1,0,1,0,0,2,1,1,1,0,0,5,0,0,1,0,0,KRV0372,4,0,1,1,0,0,4,1,0.75,1,0,0,3,0,1,1,0,0,5,0,0,1,0,0
JBD0616,0,0,0,0,0,0,9,9,7,4,4,3,9,9,9,5,5,5,0,0,0,0,0,0,JBD0616,0,0,0,0,0,0,9,9,7,4,4,3,9,9,9,5,5,5,0,0,0,0,0,0,JBD0616,0,0,0,0,0,0,5,5,1,1,1,0,6,6,6,1,1,1,0,0,0,0,0,0,JBD0616,0,0,0,0,0,0,2,1,0,1,0,0,2,2,1,1,1,0,0,0,0,0,0,0,JBD0616,0,0,0,0,0,0,1,1,0,1,1,0,2,1,0,1,0,0,0,0,0,0,0,0
RUM0880,0,0,0,0,0,0,3,3,1,1,1,0,5,5,5,1,1,1,2,2,2,1,1,1,RUM0880,0,0,0,0,0,0,3,3,1,1,1,0,5,5,5,1,1,1,2,2,2,1,1,1,RUM0880,0,0,0,0,0,0,15,15,11,1,1,0,18,18,18,1,1,1,10,10,10,1,1,1,RUM0880,1,1,1,1,1,1,2,1,0,1,0,0,2,2,1,1,1,0,1,1,1,1,1,1,RUM0880,1,1,1,1,1,1,1,1,0,1,1,0,2,1,0,1,0,0,1,1,1,1,1,1
DGM0754,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,DGM0754,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,DGM0754,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,DGM0754,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,DGM0754,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
SMY0792,0,0,0,0,0,0,2,2,2,1,1,1,3,3,3,1,1,1,0,0,0,0,0,0,SMY0792,0,0,0,0,0,0,2,2,2,1,1,1,3,3,3,1,1,1,0,0,0,0,0,0,SMY0792,0,0,0,0,0,0,11,11,11,1,1,1,12,12,12,3,3,3,0,0,0,0,0,0,SMY0792,0,0,0,0,0,0,3,2,1,1,0,0,2,2,1,1,1,0,0,0,0,0,0,0,SMY0792,0,0,0,0,0,0,1,1,1,1,1,1,3,2,2,1,0,0,0,0,1,0,0,1
HOB0994,0,0,0,0,0,0,0,0,3.5,0,0,1,0,0,3.5,0,0,1,0,0,3.5,0,0,1,HOB0994,0,0,0,0,0,0,0,0,3.5,0,0,1,0,0,3.5,0,0,1,0,0,3.5,0,0,1,HOB0994,0,0,0,0,0,0,0,0,5,0,0,1,0,0,6.5,0,0,1,0,0,4.5,0,0,1,HOB0994,0,0,0,0,0,0,1,1,1,1,0,0,0,1,2,0,1,1,0,0,1,0,0,1,HOB0994,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0
DGN0480,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,DGN0480,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,DGN0480,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,DGN0480,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,DGN0480,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
KJJ0293,0,0,0,0,0,0,3,3,3,1,1,1,3,3,3,1,1,1,0,0,0,0,0,0,KJJ0293,0,0,0,0,0,0,3,3,3,1,1,1,3,3,3,1,1,1,1,1,1,1,1,1,KJJ0293,0,0,0,0,0,0,10,10,10,1,1,1,10,10,10,1,1,1,0,0,0,0,0,0,KJJ0293,0,0,0,0,0,0,3,2,1,1,0,0,2,2,1,1,1,0,0,0,0,0,0,0,KJJ0293,0,0,0,0,0,0,1,1,0,1,1,0,2,1,1,1,0,0,2,1,1,1,0,0
JXH0493,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,JXH0493,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,JXH0493,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,JXH0493,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,JXH0493,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
JPW0741,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,JPW0741,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,JPW0741,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,JPW0741,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,JPW0741,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
MAH0864,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,MAH0864,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,MAH0864,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,MAH0864,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,MAH0864,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
QNF0205,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0,1,0,0,0.5,0,0,0.5,0,0,0.5,QNF0205,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0,1,0,0,0.5,0,0,0.5,0,0,0.5,QNF0205,0,0,0,0,0,0,0,0,6,0,0,1,0,0,6,0,0,1.5,0,0,4.5,0,0,4.5,QNF0205,0,0,0.5,0,0,0.5,1,0,1,1,0,0.5,0,0,1,0,0,0.5,0,0,0.5,0,0,0.5,QNF0205,0,0,0.5,0,0,0.5,0,0,1,0,0,0.5,1,0,0.5,1,0,0,0,0,0.5,0,0,0.5
KKW0879,0,0,0,0,0,0,9,9,7,4,4,3,9,9,9,5,5,5,3,3,3,1,1,1,KKW0879,0,0,0,0,0,0,9,9,7,4,4,3,9,9,9,5,5,5,3,3,3,1,1,1,KKW0879,0,0,0,0,0,0,9,9,5,2,2,1,10,10,10,2,2,2,4,4,4,1,1,1,KKW0879,1,1,1,1,1,1,2,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,KKW0879,1,1,1,1,1,1,1,1,0,1,1,0,2,1,0,1,0,0,0,0,0,0,0,0
RVF0201,0,0,0,0,0,0,3,3,3,1,1,1,3,3,3,1,1,1,0,0,0,0,0,0,RVF0201,0,0,0,0,0,0,3,3,3,1,1,1,3,3,3,1,1,1,0,0,0,0,0,0,RVF0201,0,0,0,0,0,0,7,7,7,1,1,1,8,8,8,1,1,1,0,0,0,0,0,0,RVF0201,0,0,0,0,0,0,3,2,1,1,0,0,2,2,1,1,1,0,0,0,0,0,0,0,RVF0201,0,0,0,0,0,0,1,1,0,1,1,0,2,1,1,1,0,0,0,0,1,0,0,1
VFM0814,0,0,0,0,0,0,2,2,0.75,1,1,0,2,2,1.5,1,1,0.75,2,2,2,1,1,1,VFM0814,0,0,0,0,0,0,2,2,0.75,1,1,0,2,2,1.5,1,1,0.75,2,2,1.75,1,1,0.75,VFM0814,0,0,0,0,0,0,8,8,2.25,3,3,2,5,5,3.75,1,1,0.75,5,5,5,1,1,1,VFM0814,0,0,0,0,0,0,3,2,1,1,0,0,2,2,1,1,1,0,1,1,0,1,1,0,VFM0814,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,2,1,0.75,1,0,0
SBN0866,0,0,0,0,0,0,3,3,1,1,1,0,3,3,3,1,1,1,1,1,1,1,1,1,SBN0866,0,0,0,0,0,0,3,3,1,1,1,0,3,3,3,1,1,1,1,1,1,1,1,1,SBN0866,0,0,0,0,0,0,27,27,23,27,27,26,27,27,27,27,27,27,2,2,2,2,2,2,SBN0866,1,1,1,1,1,1,2,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,SBN0866,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1
ZJE0857,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ZJE0857,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ZJE0857,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ZJE0857,0,0,0,0,0,0,2,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,ZJE0857,0,0,0,0,0,0,1,1,0,1,1,0,2,1,0,1,0,0,0,0,0,0,0,0
HPM0986,0,2.5,3.75,0,0.5,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.75,0,0.5,0.75,HPM0986,0,2.5,3.75,0,0.5,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.75,0,0.5,0.75,HPM0986,0,10,15,0,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HPM0986,0,0.5,0.75,0,0.5,0.75,1,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0.75,0,0.5,0.75,HPM0986,0,0.5,0.75,0,0.5,0.75,0,0,0,0,0,0,1,0,0,1,0,0,0,0.5,0.75,0,0.5,0.75
DRR0162,0,0,0,0,0,0,7,7,7,1,1,1,7,7,7,1,1,1,0,0,0,0,0,0,DRR0162,0,0,0,0,0,0,7,7,7,1,1,1,7,7,7,1,1,1,0,0,0,0,0,0,DRR0162,0,0,0,0,0,0,8,8,8,1,1,1,5,5,5,1,1,1,0,0,0,0,0,0,DRR0162,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,DRR0162,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1
ESR0693,0,0,0,0,0,0,2,2,1,1,1,0,3,3,0,1,1,0,2,2,1,1,1,0,ESR0693,0,0,0,0,0,0,2,2,1,1,1,0,3,3,0,1,1,0,2,2,1,1,1,0,ESR0693,0,0,0,0,0,0,8,8,0,1,1,0,11,11,1,1,1,0,5,5,5,2,2,2,ESR0693,0,0,0,0,0,0,2,0,0,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,ESR0693,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,2,1,1,1,0,0
CWR0502,0,0,0,0,0,0,3,3,1,1,1,0,3,3,3,1,1,1,0,0,0,0,0,0,CWR0502,0,0,0,0,0,0,3,3,1,1,1,0,3,3,3,1,1,1,0,0,0,0,0,0,CWR0502,0,0,0,0,0,0,9,9,5,2,2,1,13,13,13,2,2,2,0,0,0,0,0,0,CWR0502,0,0,0,0,0,0,3,2,1,1,0,0,2,2,1,1,1,0,0,0,0,0,0,0,CWR0502,0,0,0,0,0,0,1,1,0,1,1,0,2,1,0,1,0,0,0,0,0,0,0,0
IDO0176,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,IDO0176,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,IDO0176,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,IDO0176,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,IDO0176,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
IKP0472,0,0,0,0,0,0,3,3,3,1,1,1,3,3,3,1,1,1,0,0,0,0,0,0,IKP0472,0,0,0,0,0,0,3,3,3,1,1,1,3,3,3,1,1,1,1,1,1,1,1,1,IKP0472,0,0,0,0,0,0,11,11,11,1,1,1,10,10,10,2,2,2,1,1,1,1,1,1,IKP0472,0,0,0,0,0,0,3,2,1,1,0,0,2,2,1,1,1,0,0,0,0,0,0,0,IKP0472,0,0,0,0,0,0,1,1,0,1,1,0,2,1,1,1,0,0,1,0,0,1,0,0
GKO0078,0,0,0,0,0,0,4,4,1,1,1,0,3,3,0.5,1,1,0,0,0,0,0,0,0,GKO0078,0,0,0,0,0,0,4,4,1,1,1,0,3,3,0.5,1,1,0,0,0,0,0,0,0,GKO0078,0,0,0,0,0,0,12,12,7,1,1,3,11,11,8,1,1,8,0,0,0,0,0,0,GKO0078,0,0,0,0,0,0,3,1,0.5,2,1,1,2,1,0.5,1,0,0,0,0,0,0,0,0,GKO0078,0,0,0,0,0,0,1,1,0,1,1,0,2,1,0.5,1,0,0,0,0,1,0,0,0.5
GNS0178,0,0,0,0,0,0,2,1,2,1,0,0,3,1,1,1,0,0,1,0,0,1,0,0,GNS0178,0,0,0,0,0,0,2,1,2,1,0,0,3,1,1,1,0,0,1,0,1,1,0,0,GNS0178,0,0,0,0,0,0,27,18,17,27,26,26,27,18,14,27,26,26,24,19,13,24,23,23,GNS0178,1,1,0,1,1,0,3,0,0,1,0,0,2,0,0,1,0,0,1,0,0,1,0,0,GNS0178,1,1,0,1,1,0,1,0,0,1,0,0,1,0,1,1,0,0,2,0,0,1,0,0
LOM0086,0,0,0,0,0,0,4,4,4,1,1,1,4,4,4,1,1,1,0,0,0,0,0,0,LOM0086,0,0,0,0,0,0,4,4,4,1,1,1,4,4,4,1,1,1,0,0,0,0,0,0,LOM0086,0,0,0,0,0,0,8,8,8,2,2,2,11,11,11,2,2,2,0,0,0,0,0,0,LOM0086,0,0,0,0,0,0,2,1,0,1,0,0,2,2,1,1,1,0,0,0,0,0,0,0,LOM0086,0,0,0,0,0,0,1,1,0,1,1,0,2,1,1,1,0,0,0,0,1,0,0,1
EWH0191,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,EWH0191,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,EWH0191,0,0,0,0,0,0,0,0,6.75,0,0,1,0,0,7,0,0,1,0,0,0,0,0,0,EWH0191,0,0,0,0,0,0,2,1,0.25,1,0,0,1,0.5,0.25,1,0.5,0,0,0,0,0,0,0,EWH0191,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0.25,1,0,0,0,0,1,0,0,1
IMG0320,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,IMG0320,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,IMG0320,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,IMG0320,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,IMG0320,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
BBG0325,0,0,0,0,0,0,3,3,1,1,1,0,3,3,3,1,1,1,0,0,0,0,0,0,BBG0325,0,0,0,0,0,0,3,3,1,1,1,0,3,3,3,1,1,1,0,0,0,0,0,0,BBG0325,0,0,0,0,0,0,8,8,4,1,1,0,8,8,8,1,1,1,0,0,0,0,0,0,BBG0325,0,0,0,0,0,0,2,1,0,1,0,0,2,2,1,1,1,0,0,0,0,0,0,0,BBG0325,0,0,0,0,0,0,1,1,0,1,1,0,2,1,0,1,0,0,0,0,0,0,0,0
CTW0500,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CTW0500,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CTW0500,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CTW0500,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,CTW0500,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
SBN0495,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,SBN0495,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,SBN0495,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,SBN0495,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,SBN0495,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
